The population almost didn't grow until 1800,,,,
This knowledge is free to use under CC-BY License 4.0!,,,,
This file is part of Gapminder's fact-base. Here's the link to the public share folder,,,,
,,,,
Gapminder has combined multiple historic sources to construct estimates of historic world populaiont that reaches back to the time agriculture was invented.,,,,
,,,,
"Gapminder vcombined four sources: (See net sheet for exact numbers)
UN WPP2017, CLIO Infra, Biraben & McEvedy Jones",,,,
(Compiled by Mattias Lindgren),,Period covered,Sources,Link
,,2016-2100,"World Population Prospects 2017, medium variant",https://esa.un.org/unpd/wpp/
,,1950-2015,"World Population Prospects 2017, estimates",https://esa.un.org/unpd/wpp/
,,1800 to 1949,Mainly Maddison via ClIo infra with some adjustments made by Gapminder to have estimates meet the UN data in 1950.,https://www.clio-infra.eu/Indicators/TotalPopulation.html
,,10.000 BC to - 1900 (except 1650 ),"Biraben (except 1650 from McEvedy Jones) ""Biraben, Jean-Noel, 1980, An Essay Concerning Mankind's Evolution, Population, Selected Papers, December, table 2. 
 As cited in US census bureau""",http://www.census.gov/population/international/data/idb/worldhis.php
,,1650,"McEvedy & Jones ""McEvedy, Colin and Richard Jones, 1978, """"Atlas of World Population History,""""
 Facts on File, New York, pp. 342-351."" As cited in US census bureau http://www.census.gov/population/international/data/idb/worldhis.php",http://www.census.gov/population/international/data/idb/worldhis.php
,,,,
,,,,
,,,,
year,World populaiton,,,
-10000,4000000,,,
-5000,5000000,,,
-4000,7000000,,,
-3000,14000000,,,
-2000,27000000,,,
-1000,50000000,,,
-500,100000000,,,
-200,150000000,,,
1,170000000,,,
200,190000000,,,
400,190000000,,,
500,190000000,,,
600,200000000,,,
700,207000000,,,
800,224000000,,,
900,226000000,,,
1000,254000000,,,
1100,301000000,,,
1200,400000000,,,
1250,416000000,,,
1300,432000000,,,
1340,443000000,,,
1400,374000000,,,
1500,460000000,,,
1600,579000000,,,
1650,579000000,,,
1700,679000000,,,
1750,770000000,,,
1800,946764816,,,
1801,950949353.2,,,
1802,955168653.2,,,
1803,959430074.1,,,
1804,963726376.4,,,
1805,968055764.1,,,
1806,972415942.8,,,
1807,976803344.6,,,
1808,981217619.5,,,
1809,985651328.9,,,
1810,990878743.6,,,
1811,995532712.6,,,
1812,1000325622,,,
1813,1005258097,,,
1814,1010330552,,,
1815,1015543754,,,
1816,1020894894,,,
1817,1026382529,,,
1818,1032007127,,,
1819,1037768027,,,
1820,1043665954,,,
1821,1049578200,,,
1822,1055501042,,,
1823,1061433252,,,
